1,9,1
2,10,1
3,8,1
4,10,1
5,8,1
6,9,1
7,7,1
8,9,1
9,8,1
10,10,1
11,9,1
12,8,1
13,8,1
14,10,1
15,6,1
16,8,1
17,7,1
18,8,1
19,9,1
20,10,1
21,7,1
22,10,1
23,9,1
24,8,1
25,8,1
26,10,1
27,9,1
28,10,1
29,7,1
30,9,1
31,8,1
32,9,1
33,10,1
34,8,1
35,8,1
36,10,1
37,7,1
38,8,1
39,10,1
40,8,1
41,10,1
42,9,1
43,10,1
44,5,1
45,8,1
46,9,1
47,9,1
48,10,1
49,6,1
50,8,1
51,9,1
52,10,1
53,7,1
54,10,1
55,9,1
56,10,1
57,8,1
58,8,1
59,10,1
60,9,1
61,10,1
62,8,1
63,10,1
64,10,1
65,7,1
66,10,1
67,7,1
68,8,1
69,10,1
70,10,1
71,7,1
72,10,1
